,IMUx,IMUy,IMUvx,IMUvy,dt
71,0.0,0.0,0.0,0.0,5.745887756347656e-05
72,0.0,0.0,0.0,0.0,5.626678466796875e-05
73,0.0,0.0,0.0,0.0,5.602836608886719e-05
74,0.0,0.0,0.0,0.0,5.53131103515625e-05
75,0.0,0.0,0.0,0.0,5.53131103515625e-05
76,0.0,0.0,0.0,0.0,5.269050598144531e-05
77,0.0,0.0,0.0,0.0,5.626678466796875e-05
78,0.0,0.0,0.0,0.0,5.364418029785156e-05
79,0.0,0.0,0.0,0.0,5.984306335449219e-05
80,0.0,0.0,0.0,0.0,5.6743621826171875e-05
81,0.0,0.0,0.0,0.0,8.320808410644531e-05
82,0.0,0.0,0.0,0.0,6.890296936035156e-05
83,0.0,0.0,0.0,0.0,9.608268737792969e-05
84,0.0,0.0,0.0,0.0,8.487701416015625e-05
85,0.0,0.0,0.0,0.0,8.20159912109375e-05
86,0.0,0.0,0.0,0.0,8.153915405273438e-05
87,0.0,0.0,0.0,0.0,7.891654968261719e-05
88,0.0,0.0,0.0,0.0,7.796287536621094e-05
89,0.0,0.0,0.0,0.0,7.843971252441406e-05
90,0.0,0.0,0.0,0.0,0.00011157989501953125
91,0.0,0.0,0.0,0.0,8.630752563476562e-05
92,0.0,0.0,0.0,0.0,0.0001633167266845703
93,0.0,0.0,0.0,0.0,0.00010657310485839844
94,0.0,0.0,0.0,0.0,0.00010061264038085938
95,0.0,0.0,0.0,0.0,8.153915405273438e-05
96,0.0,0.0,0.0,0.0,7.176399230957031e-05
97,0.0,0.0,0.0,0.0,7.557868957519531e-05
98,0.0,0.0,0.0,0.0,6.008148193359375e-05
99,0.0,0.0,0.0,0.0,6.246566772460938e-05
100,0.0,0.0,0.0,0.0,5.53131103515625e-05
101,0.0,0.0,0.0,0.0,5.555152893066406e-05
102,0.0,0.0,0.0,0.0,5.364418029785156e-05
103,0.0,0.0,0.0,0.0,6.008148193359375e-05
104,0.0,0.0,0.0,0.0,7.05718994140625e-05
105,0.0,0.0,0.0,0.0,5.650520324707031e-05
106,0.0,0.0,0.0,0.0,9.822845458984375e-05
107,0.0,0.0,0.0,0.0,0.0001342296600341797
108,0.0,0.0,0.0,0.0,9.489059448242188e-05
109,0.0,0.0,0.0,0.0,7.915496826171875e-05
110,0.0,0.0,0.0,0.0,7.390975952148438e-05
111,0.0,0.0,0.0,0.0,6.341934204101562e-05
